EnsemblID	Chr	Start	End	Band	Symbol	isHK	isTF	isExtreme	LFC	P.val
ENSG00000122741	9	37800502	37867666	p13.2	DCAF10	1	0	0	1.46921616514262	7.98599735490504e-68
ENSG00000122873	10	58269058	58289586	q21.1	CISD1	1	0	0	0.146032431182271	0.00552147484362888
ENSG00000122877	10	62811996	62919900	q21.3	EGR2	0	1	0	-2.49483297970663	6.2572310839491e-107
ENSG00000122882	10	73130155	73169055	q22.2	ECD	1	0	0	0.369418930202517	1.39320959278107e-19
ENSG00000122958	10	69123512	69172861	q22.1	VPS26A	1	0	0	-0.135696673422149	0.000445094327731637
ENSG00000122970	12	110124335	110218797	q24.11	IFT81	0	0	0	0.610165643061471	6.04368077175797e-41
ENSG00000123064	12	113157174	113185479	q24.13	DDX54	1	0	0	0.25315581943588	9.13730914937129e-18
ENSG00000123091	1	51236271	51273455	p32.3	RNF11	1	0	0	-0.251490580661766	5.14394219411032e-12
ENSG00000123096	12	26121991	26299290	p12.1	SSPN	0	0	0	-1.54505221321971	6.50762413544595e-81
ENSG00000123106	12	28133249	28581511	p11.22	CCDC91	0	0	0	0.541677613083609	1.34828355493879e-28
ENSG00000123144	19	12730640	12734775	p13.13	TRIR	0	0	0	0.0113291045869984	0.695403590218359
ENSG00000123178	13	49912706	49936490	q14.2	SPRYD7	1	0	0	-0.00696497986285503	0.880211601187235
ENSG00000123200	13	45954465	46052759	q14.13	ZC3H13	1	0	0	-0.192766708979476	1.79461127119411e-06
ENSG00000123349	12	53295291	53299450	q13.13	PFDN5	1	0	0	-0.314917116502002	3.16027644381048e-36
ENSG00000123358	12	52022832	52059507	q13.13	NR4A1	0	1	0	-1.88507137468136	6.09059686772837e-78
ENSG00000123444	11	47572197	47579015	p11.2	KBTBD4	1	0	0	0.151070438153065	1.16219722284729e-05
ENSG00000123472	1	46632737	46673867	p33	ATPAF1	0	0	0	0.0705246142870083	0.0492722202334044
ENSG00000123485	2	233833416	233854566	q37.1	HJURP	0	0	0	2.14974933257161	1.39274176188298e-212
ENSG00000123552	6	99432379	99521728	q16.2	USP45	0	0	0	0.225705987180409	4.9233302861268e-07
ENSG00000123836	1	207034366	207081024	q32.1	PFKFB2	0	0	0	0.16618863155986	0.0514725695660498
ENSG00000123908	8	140520156	140635619	q24.3	AGO2	0	0	1	-0.292412949050706	5.50381812566352e-13
ENSG00000124006	2	219550729	219571859	q35	OBSL1	0	0	0	-0.357330138868152	4.21818533200141e-08
ENSG00000124067	16	67943474	67969601	q22.1	SLC12A4	0	0	0	-0.97065208572695	5.26915457557544e-109
ENSG00000124104	20	45833810	45843275	q13.12	SNX21	0	0	0	-0.950700103439908	1.07579803342924e-78
ENSG00000124164	20	58389122	58451101	q13.32	VAPB	1	0	0	-0.0653928049726717	0.167411697050985
ENSG00000124172	20	59025467	59032382	q13.32	ATP5F1E	0	0	0	0.00963891497996564	0.821255246187774
ENSG00000124203	20	59123381	59259113	q13.32	ZNF831	0	1	0	-0.708584714118935	7.42641899265933e-23
ENSG00000124207	20	49046246	49096960	q13.13	CSE1L	0	0	0	0.484302371046115	1.25334880224961e-28
ENSG00000124209	20	58309696	58367507	q13.32	RAB22A	1	0	0	0.305641268525164	6.0925923317176e-14
ENSG00000124214	20	49113339	49188367	q13.13	STAU1	1	0	0	0.53226113340053	2.54513937088462e-53
ENSG00000124217	20	50958826	50963931	q13.13	MOCS3	0	0	0	0.39864766592023	1.17282299745464e-25
ENSG00000124222	20	58651253	58679526	q13.32	STX16	0	0	0	-0.2109586880857	9.70191572941572e-07
ENSG00000124226	20	49936336	49953892	q13.13	RNF114	0	0	0	0.0462047500497049	0.205285050145597
ENSG00000124228	20	49219295	49244077	q13.13	DDX27	1	0	0	0.232408512239568	1.32211431703983e-13
ENSG00000124275	5	7851186	7906025	p15.31	MTRR	1	0	0	0.199143502745075	0.000377691181695255
ENSG00000124279	5	7859159	7869037	p15.31	FASTKD3	0	0	0	0.581059551038179	6.55620612592016e-32
ENSG00000124383	2	71130314	71150101	p13.3	MPHOSPH10	1	0	0	0.0971985258845854	0.00360619870675351
ENSG00000124422	17	20999593	21043760	p11.2	USP22	1	0	0	-0.086557466599636	0.0656997433491193
ENSG00000124459	19	43912629	43935278	q13.31	ZNF45	0	1	0	-0.124807506094458	0.002552948490917
ENSG00000124541	6	43021645	43034156	p21.1	RRP36	1	0	0	0.237523092005979	2.5220065088944e-14
ENSG00000124562	6	34757406	34773794	p21.31	SNRPC	1	0	0	0.364785586555003	1.26644334202919e-33
ENSG00000124570	6	2948159	2972165	p25.2	SERPINB6	1	0	0	0.0862813511448912	0.060279035358972
ENSG00000124571	6	43522330	43576075	p21.1	XPO5	0	0	0	0.429249047069961	5.14164807964228e-33
ENSG00000124608	6	44299654	44313326	p21.1	AARS2	1	0	0	0.0332891246791127	0.329807492671012
ENSG00000124659	6	42744481	42746096	p21.1	TBCC	1	0	0	0.103785238007026	0.00583600480827616
ENSG00000124688	6	43629540	43640952	p21.1	MAD2L1BP	1	0	0	0.373779793712599	3.85065322841536e-32
ENSG00000124702	6	43014103	43021298	p21.1	KLHDC3	1	0	0	-0.387171404693132	4.35530559678606e-26
ENSG00000124733	6	43011143	43016868	p21.1	MEA1	0	0	0	0.262453331752549	8.52133641149843e-16
ENSG00000125037	3	9962537	10011116	p25.3	EMC3	1	0	0	0.178833092147486	6.7840502334069e-06
ENSG00000125107	16	58519951	58629886	q21	CNOT1	1	0	0	-0.114197621271603	0.000417220792123689
ENSG00000125124	16	56466836	56520283	q13	BBS2	0	0	0	-0.538596122540953	1.79285580515918e-30
ENSG00000125148	16	56608199	56609497	q13	MT2A	0	0	0	-1.05022662771087	6.32167385587839e-43
ENSG00000125166	16	58707131	58734357	q21	GOT2	0	0	0	0.732243512475551	2.20447730995357e-52
ENSG00000125304	13	99446311	99564006	q32.3	TM9SF2	1	0	0	0.522166884431669	3.15301777787407e-27
ENSG00000125356	X	119871487	119876662	q24	NDUFA1	0	0	0	0.138348030620285	3.42630846729166e-05
ENSG00000125386	4	2536631	2732565	p16.3	FAM193A	0	0	1	0.375424586412267	4.2345479842072e-38
ENSG00000125409	17	15303811	15341641	p12	TEKT3	0	0	0	0.533804613244844	8.31139524552653e-08
ENSG00000125434	17	8287763	8295343	p13.1	SLC25A35	0	0	0	0.582960823408522	3.00170630990169e-22
ENSG00000125445	17	75261674	75266373	q25.1	MRPS7	1	0	0	0.169564986490667	8.48149072638152e-07
ENSG00000125447	17	75236599	75262363	q25.1	GGA3	0	0	0	-0.156684976931831	2.4961903438027e-06
ENSG00000125449	17	75109952	75130265	q25.1	ARMC7	1	0	0	0.421000460037609	1.85572802125891e-27
ENSG00000125450	17	75205659	75235758	q25.1	NUP85	1	0	0	0.141301107548033	6.66424457705616e-06
ENSG00000125454	17	75272981	75289510	q25.1	SLC25A19	0	0	0	0.315166433582284	2.48297893833257e-16
ENSG00000125459	1	155610205	155614967	q22	MSTO1	0	0	0	-0.0544611146253074	0.131704527066552
ENSG00000125482	9	132375548	132406851	q34.13	TTF1	0	1	0	-0.233010380438148	4.4787553901576e-13
ENSG00000125484	9	132670035	132694955	q34.13	GTF3C4	0	0	0	0.275325050335147	5.29872613306268e-15
ENSG00000125485	9	132592997	132670401	q34.13	DDX31	0	0	0	0.520796099017925	5.70063535863934e-43
ENSG00000125503	19	55090913	55117559	q13.42	PPP1R12C	0	0	0	-0.303234408183083	5.71336727091463e-23
ENSG00000125520	20	63739861	63743505	q13.33	SLC2A4RG	0	1	1	0.280161461266146	4.49202719226053e-11
ENSG00000125534	20	63520724	63522206	q13.33	PPDPF	0	0	1	0.793183326778575	3.63639306173253e-59
ENSG00000125633	2	117915478	118014133	q14.1	CCDC93	0	0	0	-0.406043939701094	4.67927687460777e-27
ENSG00000125651	19	6379569	6393981	p13.3	GTF2F1	1	0	1	0.224698237327662	3.21742248827658e-12
ENSG00000125652	19	6372433	6375251	p13.3	ALKBH7	0	0	1	0.207499954191894	5.55615634381044e-09
ENSG00000125656	19	6361452	6368910	p13.3	CLPP	1	0	1	0.348818537942736	5.4487019352657e-28
ENSG00000125686	17	39404285	39451286	q12	MED1	0	0	0	0.0649993898907235	0.285473584279837
ENSG00000125691	17	38847865	38853843	q12	RPL23	0	0	0	-0.661660775477305	1.96779451928404e-23
ENSG00000125779	20	3888839	3929882	p13	PANK2	1	0	1	0.148479719158432	0.00016257304535326
ENSG00000125812	20	23362182	23373063	p11.21	GZF1	1	1	0	0.22938239459326	1.23943616464432e-07
ENSG00000125814	20	23374519	23421519	p11.21	NAPB	0	0	0	0.333141856754545	6.93063726552529e-09
ENSG00000125817	20	3783851	3786690	p13	CENPB	1	1	1	0.0946236242188726	0.0091524523539749
ENSG00000125818	20	1113263	1189415	p13	PSMF1	1	0	1	0.191897564647422	2.54394354661142e-09
ENSG00000125826	20	407498	430966	p13	RBCK1	1	1	1	0.28311289743534	9.35179739895995e-13
ENSG00000125834	20	2101611	2177038	p13	STK35	0	0	1	0.332214992652751	1.18828517240192e-17
ENSG00000125835	20	2461634	2470853	p13	SNRPB	1	0	1	0.569952264942354	9.19456642835688e-43
ENSG00000125841	20	346782	359660	p13	NRSN2	0	0	1	0.852559933313915	7.79150396188027e-59
ENSG00000125843	20	3820524	3828837	p13	AP5S1	0	0	1	0.0802471890032351	0.0253414005538422
ENSG00000125846	20	18288283	18316996	p11.23	ZNF133	0	1	0	-0.380458844983525	3.0172423774171e-17
ENSG00000125863	20	10401009	10434222	p12.2	MKKS	1	0	0	0.0369672673780029	0.369254153664157
ENSG00000125870	20	16729961	16742563	p12.1	SNRPB2	1	0	0	0.211330540387961	1.33556658560849e-06
ENSG00000125871	20	17968913	17991122	p11.23	MGME1	1	0	0	0.0204542812595734	0.657878739532108
ENSG00000125875	20	435480	462553	p13	TBC1D20	1	0	1	-0.052015373592386	0.134234408944604
ENSG00000125877	20	3208868	3223870	p13	ITPA	1	0	1	0.47016142692196	2.28622426895218e-34
ENSG00000125885	20	5950652	5998977	p12.3	MCM8	0	0	0	0.0924890967244523	0.0628063414313859
ENSG00000125901	20	3045945	3048254	p13	MRPS26	1	0	1	0.351696672367982	2.24585099706547e-19
ENSG00000125952	14	65006174	65102695	q23.3	MAX	1	1	0	0.414292288050352	3.79635004078617e-36
ENSG00000125968	20	31605283	31606515	q11.21	ID1	0	0	0	-1.38242056576891	8.01701429419578e-70
ENSG00000125970	20	33993646	34108308	q11.22	RALY	1	0	0	0.699425708412121	8.38034768555224e-83
ENSG00000125971	20	34516409	34540958	q11.22	DYNLRB1	1	0	0	0.411547214330062	1.9675007291802e-30
ENSG00000125977	20	34088298	34112332	q11.22	EIF2S2	1	0	0	0.125970425147915	0.000115915973132845
ENSG00000125991	20	35542021	35557634	q11.22	ERGIC3	1	0	0	0.258385079542821	1.92147590698896e-13
ENSG00000126012	X	53191321	53225422	p11.22	KDM5C	1	0	0	0.346062716428174	3.10576972864198e-26
ENSG00000126062	3	50354749	50359610	p21.31	TMEM115	1	0	0	0.196616782395776	6.75459644663644e-15
ENSG00000126088	1	45012147	45015575	p34.1	UROD	1	0	0	-0.474906537620878	1.12002497308653e-52
ENSG00000126107	1	45002540	45011329	p34.1	HECTD3	1	0	0	-0.415847929786782	4.44954990706483e-35
ENSG00000126216	13	112485005	112588205	q34	TUBGCP3	0	0	1	-0.129967229710783	0.00392288438292625
ENSG00000126217	13	112894378	113099739	q34	MCF2L	0	0	1	0.434185944712853	1.56040173684381e-12
ENSG00000126226	13	113177539	113208715	q34	PCID2	1	0	1	-0.181907338194108	3.40312915919918e-05
ENSG00000126261	19	34428352	34471251	q13.11	UBA2	1	0	0	-0.335499044507759	4.80662609499677e-20
ENSG00000126267	19	35648223	35658861	q13.12	COX6B1	1	0	0	0.21175132796625	7.12217157642205e-10
ENSG00000126351	17	40058290	40093867	q21.1	THRA	0	1	0	-0.914968592858974	1.5356230754337e-50
ENSG00000126368	17	40092787	40100725	q21.1	NR1D1	0	1	0	-0.851230154474882	1.01418186625978e-27
ENSG00000126456	19	49659569	49665875	q13.33	IRF3	0	1	0	0.0743439681867375	0.0165437804030348
ENSG00000126461	19	49642125	49658642	q13.33	SCAF1	1	0	0	0.392281591562535	7.22243463902956e-34
ENSG00000126464	19	49591643	49626439	q13.33	PRR12	0	1	0	0.551102217044332	4.65131007126994e-58
ENSG00000126524	7	66987677	66995601	q11.21	SBDS	1	0	0	-0.924412393329364	1.40751953404631e-115
ENSG00000126561	17	42287547	42311943	q21.2	STAT5A	0	1	0	-1.30326933937562	1.80203743641423e-100
ENSG00000126581	17	42810134	42833350	q21.31	BECN1	1	0	0	0.345895544730374	1.22096508260066e-17
ENSG00000126602	16	3651639	3717597	p13.3	TRAP1	1	0	1	0.38600981913035	8.07758634010299e-19
ENSG00000126653	17	30115521	30186475	q11.2	NSRP1	1	0	0	0.17721315444939	0.00216368717275939
ENSG00000126698	1	28199456	28233025	p35.3	DNAJC8	1	0	0	-0.0965110908858077	0.000333201387738468
ENSG00000126746	12	6666477	6689572	p13.31	ZNF384	1	1	0	-0.0519244561635568	0.100787146957379
ENSG00000126749	12	6970893	6997428	p13.31	EMG1	1	0	0	0.02452274992264	0.462015068428407
ENSG00000126773	14	60091911	60169133	q23.1	PCNX4	0	0	0	0.318234346535772	1.68784883997285e-20
ENSG00000126775	14	55366392	55411858	q22.3	ATG14	0	0	0	-0.167816493068483	2.08034167544405e-05
ENSG00000126787	14	55148112	55191678	q22.3	DLGAP5	0	0	0	2.34493936406076	5.21600711459527e-212
ENSG00000126804	14	64503712	64533690	q23.3	ZBTB1	1	1	0	-0.249310976961045	2.05033528608688e-14
ENSG00000126814	14	60971451	60981358	q23.1	TRMT5	0	0	0	-0.257614617110812	1.03361913522074e-13
ENSG00000126858	17	32142454	32253374	q11.2	RHOT1	1	0	0	0.185955435321101	5.45368254804223e-05
ENSG00000126903	X	154487306	154490690	q28	SLC10A3	0	0	1	-0.27393064944694	7.84235909764786e-17
ENSG00000126945	X	101408295	101414133	q22.1	HNRNPH2	1	0	0	0.171170837534061	2.48600318347243e-06
ENSG00000126947	X	101550531	101554700	q22.1	ARMCX1	0	0	0	-0.36940750121805	2.22158128314709e-06
ENSG00000127054	1	1311585	1324691	p36.33	INTS11	0	0	1	-0.0124586087314808	0.696939538791875
ENSG00000127083	9	92414245	92424461	q22.31	OMD	0	0	0	-0.739280482671135	1.40884979559774e-16
ENSG00000127184	5	86617904	86620962	q14.3	COX7C	1	0	0	0.0617058443758864	0.0999188506861876
ENSG00000127191	9	136881912	136926607	q34.3	TRAF2	0	0	1	0.934117319390843	8.34896279234644e-109
ENSG00000127329	12	70515866	70637440	q15	PTPRB	0	0	0	-1.26423813031755	3.3465615916935e-134
ENSG00000127445	19	9835257	9849682	p13.2	PIN1	1	1	0	0.36886434734213	5.84864346722151e-33
ENSG00000127452	19	9810267	9827816	p13.2	FBXL12	0	0	0	-0.315037626989458	3.62453893954008e-29
ENSG00000127463	1	19215664	19251552	p36.13	EMC1	1	0	0	0.0158217159928926	0.60714248739527
ENSG00000127511	19	16829400	16880353	p13.11	SIN3B	0	0	0	-0.103519257090716	0.0011421355865902
ENSG00000127526	19	16549831	16572382	p13.11	SLC35E1	1	0	0	0.340402321305184	5.24329437450084e-29
ENSG00000127540	19	1597172	1605490	p13.3	UQCR11	1	0	1	0.155855746015501	8.59059837998437e-07
ENSG00000127564	16	2968024	2980539	p13.3	PKMYT1	0	0	1	2.38718009108942	2.469740887166e-220
ENSG00000127580	16	684622	690444	p13.3	WDR24	1	0	1	0.518852060354876	1.104860728766e-54
ENSG00000127616	19	10960825	11079426	p13.2	SMARCA4	1	0	0	0.857396110386165	2.64854743992011e-116
ENSG00000127774	17	3668815	3669668	p13.2	EMC6	1	0	0	0.0607319361642521	0.392827769614694
ENSG00000127804	17	2405562	2511891	p13.3	METTL16	1	0	1	0.0677244227638767	0.0950738930065573
ENSG00000127837	2	218264123	218270257	q35	AAMP	1	0	0	0.196944926822864	2.5646031461165e-09
ENSG00000127870	13	26132115	26222493	q12.13	RNF6	1	0	0	0.21859841752965	3.93576993231357e-07
ENSG00000127884	10	133362480	133373689	q26.3	ECHS1	1	0	1	-0.365688520978624	7.86869183231733e-19
ENSG00000127948	7	75899200	75986855	q11.23	POR	0	0	0	0.282794868498619	5.26323056272447e-13
ENSG00000127989	7	91692008	91880720	q21.2	MTERF1	0	1	0	0.587650350883903	8.74054293207204e-39
ENSG00000127993	7	92528773	92538005	q21.2	RBM48	0	0	0	-0.359490956637922	7.96842546976485e-21
ENSG00000128016	19	39406813	39409412	q13.2	ZFP36	0	0	0	-2.24710572544759	3.20154441790069e-167
ENSG00000128050	4	56435741	56464579	q12	PAICS	1	0	0	0.672029323143934	2.12638643841811e-47
ENSG00000128052	4	55078259	55125595	q12	KDR	0	0	0	-0.948536261894004	2.60155964929489e-80
ENSG00000128059	4	56393362	56435615	q12	PPAT	0	0	0	0.780567796387906	3.89501778698145e-61
ENSG00000128159	22	50217689	50244992	q13.33	TUBGCP6	0	0	1	-0.347709081881702	1.02476883755581e-26
ENSG00000128165	22	50481556	50486440	q13.33	ADM2	0	0	1	1.18864641552642	1.49351495661031e-49
ENSG00000128185	22	20314276	20320080	q11.21	DGCR6L	1	0	0	0.23813236411902	1.04509452364682e-12
ENSG00000128228	22	21642261	21644298	q11.21	SDF2L1	0	0	0	0.611638637052856	8.67701848684426e-40
ENSG00000128271	22	24417879	24442360	q11.23	ADORA2A	0	0	0	0.738623276034604	5.03840602832434e-12
ENSG00000128272	22	39519695	39522685	q13.1	ATF4	1	1	0	-0.638290741279757	1.25849201109169e-63
ENSG00000128284	22	36140330	36166177	q12.3	APOL3	0	0	0	-0.908817440575878	7.39626738673054e-69
ENSG00000128294	22	26521983	26596717	q12.1	TPST2	1	0	0	0.00703833957939739	0.876874666729021
ENSG00000128298	22	38084889	38110670	q13.1	BAIAP2L2	0	0	0	-0.183126574990665	0.0714531036674094
ENSG00000128309	22	37019635	37029822	q12.3	MPST	0	0	0	-0.363935153712374	5.2853808104367e-14
ENSG00000128311	22	37010859	37020183	q12.3	TST	0	0	0	-0.411536734097921	3.18233332976576e-11
ENSG00000128335	22	36226203	36239954	q12.3	APOL2	1	0	0	0.0963447684596558	0.0110156012123402
ENSG00000128463	15	34224999	34230156	q14	EMC4	1	0	0	0.0148586401933171	0.686878435403744
ENSG00000128524	7	128862826	128865844	q32.1	ATP6V1F	1	0	0	0.311222779626016	1.65172189142353e-26
ENSG00000128563	7	102363872	102426676	q22.1	PRKRIP1	1	0	0	0.480077635379636	8.01067622930045e-51
ENSG00000128581	7	101313367	101321823	q22.1	IFT22	0	0	0	0.567956111977947	1.61920211302749e-62
ENSG00000128607	7	130070510	130135720	q32.2	KLHDC10	0	0	0	0.123380228062772	0.00311606025281934
ENSG00000128609	7	123536997	123558255	q31.32	NDUFA5	1	0	0	0.299713342294842	1.50602519741292e-15
ENSG00000128626	19	38930548	38933162	q13.2	MRPS12	1	0	0	0.5475532358684	5.38253168123225e-47
ENSG00000128708	2	171922448	171983682	q31.1	HAT1	1	0	0	0.500475273900241	7.30181030134028e-42
ENSG00000128710	2	176108790	176119942	q31.1	HOXD10	0	1	0	-0.948419362595681	2.23618376898119e-15
ENSG00000128731	15	28111040	28322152	q13.1	HERC2	0	0	0	0.0198486640683239	0.617083251148315
ENSG00000128739	15	24823637	24978723	q11.2	SNRPN	0	0	0	0.269910986189255	0.0153631317192135
ENSG00000128789	18	12658043	12725740	p11.21	PSMG2	1	0	0	0.106988123565386	0.00471030977192665
ENSG00000128908	15	40978880	41116354	q15.1	INO80	0	0	0	0.0966366655959607	0.000730641580950508
ENSG00000129083	11	14443440	14500027	p15.2	COPB1	1	0	0	0.708869072821939	4.95200515955126e-55
ENSG00000129084	11	14504874	14643635	p15.2	PSMA1	1	0	0	0.407011036906043	2.04966201178124e-28
ENSG00000129158	11	17788048	18013162	p15.1	SERGEF	1	0	0	0.427783705501206	1.98450586584794e-11
ENSG00000129195	17	6444415	6451469	p13.2	PIMREG	0	0	0	1.5623721177956	1.12456626432158e-123
ENSG00000129197	17	5419641	5432876	p13.2	RPAIN	1	0	0	-0.189527786495444	3.20736746914424e-07
ENSG00000129219	17	4807096	4823434	p13.2	PLD2	0	0	0	-0.48946063815482	2.03447659963959e-35
ENSG00000129235	17	6640758	6644541	p13.1	TXNDC17	1	0	0	0.78321603049482	1.09584040305066e-86
ENSG00000129245	17	7591230	7614871	p13.1	FXR2	0	0	0	0.0590408353481555	0.0659419175116119
ENSG00000129250	17	4997948	5028401	p13.2	KIF1C	0	0	0	-0.645218346904685	1.4368841384029e-54
ENSG00000129255	17	7583529	7592789	p13.1	MPDU1	1	0	0	0.326501451912824	7.47372745558921e-17
ENSG00000129295	8	132571953	132675617	q24.22	LRRC6	0	0	0	1.91054291705923	1.1804116639201e-70
ENSG00000129347	19	10553078	10566037	p13.2	KRI1	0	0	0	0.213323162049256	4.77189559640112e-12
ENSG00000129354	19	10572671	10587315	p13.2	AP1M2	0	0	0	2.14825126897519	8.21674126001596e-144
ENSG00000129422	8	17643795	17800917	p22	MTUS1	0	0	0	-0.286282100493303	6.74249760725394e-05
ENSG00000129460	14	23469688	23509862	q11.2	NGDN	1	0	0	0.0788932658636627	0.042641723818747
ENSG00000129484	14	20343582	20357905	q11.2	PARP2	0	0	0	-0.203322480352506	2.85106370854185e-07
ENSG00000129515	14	34561094	34630183	q13.1	SNX6	1	0	0	0.0151485529235562	0.662481594492101
ENSG00000129518	14	34515929	34539711	q13.1	EAPP	1	0	0	0.172794942919442	6.50676133159349e-07
ENSG00000129559	14	24216852	24232454	q12	NEDD8	1	0	0	0.312726876272088	5.95605535877902e-19
ENSG00000129562	14	22564905	22589269	q11.2	DAD1	1	0	0	0.3622086614568	1.4175612597654e-21
ENSG00000129636	16	47154387	47464149	q12.1	ITFG1	1	0	0	0.144877391002515	0.00384956499397489
ENSG00000129691	8	38105242	38144076	p11.23	ASH2L	1	0	0	0.291356439736914	2.82188395418908e-06
ENSG00000129696	8	33473386	33513601	p12	TTI2	1	0	0	0.280064359582412	4.56624915252644e-06
ENSG00000129810	3	20160593	20186292	p24.3	SGO1	0	0	0	2.04772912085246	8.88093786974815e-209
ENSG00000129932	19	3490822	3500940	p13.3	DOHH	1	0	1	0.414595272401764	4.95582952615185e-29
ENSG00000129933	19	19320681	19358755	p13.11	MAU2	0	0	0	0.089489783809659	0.00306505926274314
ENSG00000129968	19	1876810	1885547	p13.3	ABHD17A	0	0	1	-0.122462059841295	1.79449039342866e-05
ENSG00000130021	X	7048920	7148190	p22.31	PUDP	0	0	0	0.295073945733428	5.15332285677792e-08
ENSG00000130023	6	169751622	169781584	q27	ERMARD	0	0	1	0.193379710447932	4.24350465185614e-06
ENSG00000130164	19	11089362	11133816	p13.2	LDLR	0	0	0	-0.601429259609994	2.08511709937321e-14
ENSG00000130176	19	11538717	11550323	p13.2	CNN1	0	0	0	-3.29577614098927	2.61536365283136e-220
ENSG00000130177	13	114234887	114272723	q34	CDC16	1	0	1	-0.10314596803935	0.0138535128428741
ENSG00000130193	8	142727203	142736927	q24.3	THEM6	0	0	1	0.263258554174458	2.74509352283228e-06
ENSG00000130227	8	21919671	22006585	p21.3	XPO7	1	0	0	-0.108161300992593	0.00714193159376402
ENSG00000130244	19	38403135	38409088	q13.2	FAM98C	0	0	0	0.335673847158263	3.10056254357755e-17
ENSG00000130254	19	5586999	5624046	p13.3	SAFB2	0	1	1	0.301664629861528	3.15396891195798e-32
ENSG00000130255	19	5674947	5691876	p13.3	RPL36	0	0	1	-0.155566677206621	1.60796723214453e-05
ENSG00000130311	19	17309518	17323301	p13.11	DDA1	1	0	0	0.0511568382664734	0.085258839943776
ENSG00000130332	19	2321517	2328620	p13.3	LSM7	1	0	1	0.372155703091953	1.66228445776846e-29
ENSG00000130338	6	158232236	158511828	q25.3	TULP4	0	0	0	1.08138984884839	2.66902954008593e-83
ENSG00000130340	6	157700387	157945077	q25.3	SNX9	1	0	0	0.222188689571374	5.62133735121825e-08
ENSG00000130347	6	106571971	106629487	q21	RTN4IP1	0	0	0	0.0719467563119144	0.284369629881228
ENSG00000130348	6	106629578	106668417	q21	QRSL1	1	0	0	0.0897709046519412	0.139782191893752
ENSG00000130349	6	107028213	107051342	q21	C6orf203	0	0	0	-0.157675052211148	0.00309884143954542
ENSG00000130363	6	158972871	159000187	q25.3	RSPH3	0	0	0	0.3243187158718	3.13789971934115e-12
ENSG00000130382	19	6210379	6279948	p13.3	MLLT1	1	0	1	0.299062742678326	6.636609210288e-21
ENSG00000130479	19	17719242	17734516	p13.11	MAP1S	0	0	0	0.217733167659913	2.11470586685129e-11
ENSG00000130489	22	50523568	50525606	q13.33	SCO2	1	0	1	0.224613930504111	1.05718716093163e-09
ENSG00000130522	19	18279760	18281622	p13.11	JUND	1	1	0	-0.646374603885672	3.47524132479153e-37
ENSG00000130589	20	63558086	63574239	q13.33	HELZ2	0	0	1	0.482447768812573	5.72724728139838e-22
ENSG00000130590	20	63974113	63980008	q13.33	SAMD10	0	0	1	0.429143865121071	1.96388722420779e-20
ENSG00000130635	9	134641774	134844843	q34.3	COL5A1	0	0	1	2.24450578786423	2.40978488280251e-240
ENSG00000130638	22	45671798	45845307	q13.31	ATXN10	1	0	0	0.498174788941095	2.37954297474974e-41
ENSG00000130640	10	133278630	133312337	q26.3	TUBGCP2	1	0	1	0.142064054736986	3.18567240802111e-05
ENSG00000130699	20	61953469	62065810	q13.33	TAF4	1	0	1	0.422728816174695	2.71770536247926e-30
ENSG00000130703	20	62231922	62296213	q13.33	OSBPL2	1	0	1	0.0856552621597959	0.0138115354506946
ENSG00000130706	20	62302093	62308862	q13.33	ADRM1	0	0	1	0.190017303307808	1.21101991587992e-09
ENSG00000130713	9	130693721	130704894	q34.12	EXOSC2	1	0	0	-0.110892428752999	0.000126568015184651
ENSG00000130717	9	131523801	131531268	q34.13	UCK1	1	0	0	-0.253120815122549	7.38992491030042e-20
ENSG00000130724	19	58551566	58555124	q13.43	CHMP2A	1	0	1	0.566844841300475	5.76743594106583e-44
ENSG00000130725	19	58555712	58558960	q13.43	UBE2M	1	0	1	0.31399118235928	4.29796596242475e-18
ENSG00000130731	16	634427	636366	p13.3	METTL26	0	0	1	0.620219656569757	1.51742170615657e-65
ENSG00000130734	19	10543895	10553418	p13.2	ATG4D	1	0	0	0.465424890591036	9.92983539870038e-40
ENSG00000130748	19	47045907	47048630	q13.32	TMEM160	0	0	0	0.208427896544278	3.06707525097776e-07
ENSG00000130772	1	28329002	28335967	p35.3	MED18	0	0	0	0.120077515018827	0.00056430134445558
ENSG00000130803	19	9140380	9163424	p13.2	ZNF317	0	1	0	0.00781163745551141	0.796203817416993
ENSG00000130810	19	10106289	10111634	p13.2	PPAN	1	0	0	0.110209859178936	0.00412520813747079
ENSG00000130811	19	10115017	10119918	p13.2	EIF3G	1	0	0	-0.266334530023345	8.05715785175968e-21
ENSG00000130821	X	153688099	153696593	q28	SLC6A8	0	0	1	-0.303879749640403	1.75792877860532e-05
ENSG00000130822	X	153669730	153689010	q28	PNCK	0	0	1	1.25619766923858	7.71080425651977e-13
ENSG00000130827	X	154458281	154477779	q28	PLXNA3	0	0	1	0.624061555049772	4.94080252896921e-35
ENSG00000130856	18	76822607	76970727	q23	ZNF236	0	1	1	0.562620557522743	6.99558036216659e-38
ENSG00000130921	12	123232916	123257959	q24.31	C12orf65	1	0	0	-0.179539136936347	6.35012054452619e-06
ENSG00000130935	17	67717833	67744531	q24.2	NOL11	1	0	0	0.229159941371134	6.98652142373465e-10
ENSG00000131013	6	149504733	149546038	q25.1	PPIL4	1	0	0	-0.0902782576935002	0.0157640349438584
